location,depth,abiotic,biotic,cca,hard_coral_other,macro,non_reef,plob,poci,turf,site
ana,dp,0.026000000000000002,8.333333333333334e-4,0.002,1.6666666666666666e-4,0.2005,0.04633333333333334,0.6556666666666666,0.006333333333333333,0.06216666666666667,ana_dp
ana,md,0.006,0,0.001,3.333333333333333e-4,0.11,0.098,0.7315,0.007,0.04616666666666667,ana_md
ana,sh,0.029166666666666667,1.6666666666666666e-4,0,0,0.058666666666666666,0.051000000000000004,0.7635,0.0045,0.093,ana_sh
man,dp,0.44483333333333336,0.0013333333333333333,1.6666666666666666e-4,0,0.09266666666666666,0.0425,0.219,0.07583333333333334,0.12366666666666667,man_dp
man,md,0.0245,0.007333333333333333,6.666666666666666e-4,0,0.041166666666666664,0.06933333333333333,0.771,0.0325,0.0535,man_md
man,sh,0.017833333333333333,0.0023333333333333335,1.6666666666666666e-4,0,0.034833333333333334,0.04683333333333333,0.8288333333333333,0.016666666666666666,0.0525,man_sh
mtt,dp,0.04816666666666667,0.0165,0.0016666666666666668,0,0.072,0.0745,0.5815,0.07083333333333333,0.13466666666666666,mtt_dp
mtt,md,0.0265,0.022166666666666668,0.028,0,0.0075,0.05583333333333333,0.5235,0.20166666666666666,0.13483333333333333,mtt_md
mtt,sh,0.058666666666666666,0.0395,0.14566666666666667,0,0.0035,0.081,0.2295,0.26366666666666666,0.1785,mtt_sh
se,dp,0.38716666666666666,0.035666666666666666,0.0036666666666666666,0,0.0018333333333333333,0.03916666666666667,0.26166666666666666,0.1515,0.11933333333333333,se_dp
se,md,0.15683333333333332,0.04783333333333333,0.08733333333333333,0,1.6666666666666666e-4,0.05366666666666667,0.12983333333333333,0.3368333333333333,0.1875,se_md
se,sh,0.2405,0.042333333333333334,0.08966666666666667,0,0.0018333333333333333,0.05216666666666667,0.0405,0.25083333333333335,0.2821666666666667,se_sh
